timestamp,dataset_id,file_tag,instance_idx,algo,variant,seed,generations,time_ms,f,bk,ublp,gapLP_pct,gapBK_pct,deltaBK,div_hamming_avg,div_entropy_avg,stop_reason
2025-11-10T20:19:10.292695508Z,ORLIB,mknapcb1,1,GA_MKP,mut=0.0100;repair=true;ts=false,0,1322,13530,24329.000000,24381.000000,24585.902722,1.044919,0.213281,-52.000000,0.198652,0.517201,stagnation_1000
2025-11-10T20:19:37.242187332Z,ORLIB,mknapcb1,2,GA_MKP,mut=0.0100;repair=true;ts=false,0,1819,19991,24087.000000,24274.000000,24538.208990,1.838802,0.770372,-187.000000,0.228564,0.584094,stagnation_1000
2025-11-10T20:19:42.334527224Z,ORLIB,mknapcb1,3,GA_MKP,mut=0.0100;repair=true;ts=false,0,1017,11803,23494.000000,23551.000000,23895.828928,1.681586,0.242028,-57.000000,0.245362,0.607246,stagnation_1000
2025-11-10T20:19:55.012407245Z,ORLIB,mknapcb1,4,GA_MKP,mut=0.0100;repair=true;ts=false,0,1272,12548,23195.000000,23534.000000,23724.138568,2.230381,1.440469,-339.000000,0.191564,0.509718,stagnation_1000
2025-11-10T20:20:13.537210762Z,ORLIB,mknapcb1,5,GA_MKP,mut=0.0100;repair=true;ts=false,0,1042,11551,23771.000000,23991.000000,24223.030317,1.866118,0.917011,-220.000000,0.234265,0.584275,stagnation_1000
2025-11-10T20:20:26.722237887Z,ORLIB,mknapcb1,6,GA_MKP,mut=0.0100;repair=true;ts=false,0,1078,13058,24411.000000,24613.000000,24884.237046,1.901754,0.820705,-202.000000,0.249115,0.609663,stagnation_1000
2025-11-10T20:20:41.888975352Z,ORLIB,mknapcb1,7,GA_MKP,mut=0.0100;repair=true;ts=false,0,1844,21836,25521.000000,25591.000000,25793.401838,1.056091,0.273534,-70.000000,0.216217,0.553480,stagnation_1000
2025-11-10T20:20:54.030097115Z,ORLIB,mknapcb1,8,GA_MKP,mut=0.0100;repair=true;ts=false,0,1060,12011,23215.000000,23410.000000,23657.882201,1.872028,0.832977,-195.000000,0.226564,0.569627,stagnation_1000
2025-11-10T20:21:00.585590591Z,ORLIB,mknapcb1,1,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1864,32215,24266.000000,24381.000000,24585.902722,1.301163,0.471679,-115.000000,0.143722,0.446792,stagnation_1000
2025-11-10T20:21:06.910290060Z,ORLIB,mknapcb1,9,GA_MKP,mut=0.0100;repair=true;ts=false,0,1032,12788,24091.000000,24216.000000,24445.615445,1.450630,0.516188,-125.000000,0.231569,0.580093,stagnation_1000
2025-11-10T20:21:20.920975856Z,ORLIB,mknapcb1,10,GA_MKP,mut=0.0100;repair=true;ts=false,0,1062,13988,24264.000000,24411.000000,24635.691889,1.508754,0.602188,-147.000000,0.248933,0.615727,stagnation_1000
2025-11-10T20:21:22.969399777Z,ORLIB,mknapcb1,2,GA_MKP,mut=0.0100;repair=true;ts=true;tenure=9;steps=1200;vmin=0.0;vmax=0.02;lmbMin=0.1;lmbMax=10000;up=1.2;down=0.9,0,1117,22424,23987.000000,24274.000000,24538.208990,2.246329,1.182335,-287.000000,0.195373,0.549713,stagnation_1000
